棒：bàng，12画,字意：刑克父母，少年艰难，中年多劳，晚年吉祥隆昌，荣幸之字。
童：tóng，12画,字意：一生清雅多才，贤能聪明，中年劳但吉祥，晚年劳神。
筒：tǒng，12画,字意：清雅多才，名利双收，中年平凡，晚年吉祥，环境良好。
统：tǒng，12画,字意：智勇双全，操守廉正，中年劳或多灾，晚年吉祥。
痛：tòng，12画,字意：暗淡无光，身弱短寿，有爱情烦恼，一生难幸福。
推：tuī，12画,字意：清雅秀气，多才有能，有损丁刑偶之厄，晚年吉祥。
蛙：wā，12画,字意：得天时地利，天赐之福，中年吉祥，晚年劳神，小心爱情厄。
皖：wǎn，12画,字意：忧心劳神，刑偶伤子，中年多灾，晚年吉祥。
围：wéi，12画,字意：福祉绵远，荣贵多才，中年劳或奔波，晚年吉祥。
惟：wéi，12画,字意：温和贤能，多才伶俐，中年劳神，晚年吉昌。
为：wéi，12画,字意：英敏秀气，清雅伶俐，中年劳或潦倒，晚年吉祥。
无：wú，12画,字意：忧心劳神，刑偶伤子，一生困苦潦倒，难得幸福，短寿劳苦。
稀：xī，12画,字意：性刚果断，少年艰难，中年多劳或奔波，晚年吉祥。
惜：xī，12画,字意：温和慈祥，多才清雅，晚婚迟得子大吉，环境良好。
喜：xǐ，12画,字意：一生清雅荣贵，刑偶欠子，中年成功隆昌，环境良好。
闲：xián，12画,字意：忧心劳神，多刑克，一生困苦潦倒，忌车怕水，短寿之字。
现：xiàn，12画,字意：口快性刚，多才伶俐，中年吉祥，晚年隆昌，环境良好。
羡：xiàn，12画,字意：清雅伶俐，多才巧智，刑偶伤子，或有爱情厄，中年劳，晚年吉祥。
翔：xiáng，12画,字意：清雅荣贵，官运旺，中年成功隆昌，出国之字，富贵之命。
项：xiàng，12画,字意：一生清雅多才，智勇双全，中年劳苦，晚年吉祥。
象：xiàng，12画,字意：刑偶伤子，英雄豪杰，中年奔波多劳，晚年吉祥，双妻之格。
雄：xióng，12画,字意：配合善，中年成功隆昌，不善，忌车怕水，恶死凶亡。
须：xū，12画,字意：三子命中存，有才能理智，中年劳，晚年吉祥，子孙隆昌。
絮：xù，12画,字意：有爱情烦恼，身弱多病，清雅伶俐，中年劳，晚年吉祥。
绚：xuàn，12画,字意：秀气伶俐，清雅温和，晚得子吉，中年吉祥，晚年身弱多病。
循：xún，12画,字意：小心爱情厄，一生清雅平凡，中年劳，晚年吉祥，出国之字。
寻：xún，12画,字意：忧心劳神，百事劳苦，刑偶欠子，中年多灾，晚年吉祥。
涯：yá，12画,字意：一生清雅平凡，中年劳或奔波，晚年吉祥。
雅：yǎ，12画,字意：英俊多才，秀气贤淑，中年吉祥，晚年隆昌，出国之格。
淹：yān，12画,字意：外观幸福，内心多忧，中年劳苦，晚年吉祥。
堰：yàn，12画,字意：刑偶伤子，晚婚或迟得子吉，中年劳或奔波，晚年吉祥。
砚：yàn，12画,字意：一生清雅伶俐，福禄双收，刑偶伤子，晚年吉祥。
雁：yàn，12画,字意：出外或离祖吉祥，中年奔波或劳苦，晚年吉祥，双妻之格。
尧：yáo，12画,字意：克父伤妻，一生清雅多才，官运旺，中年吉祥，晚年劳神。
液：yè，12画,字意：口快性刚，事劳无功，中年多灾，晚年吉祥。
壹：yī，12画,字意：清雅荣贵，精明公正，中年吉祥，晚年隆昌，二子吉祥。
椅：yǐ，12画,字意：刑偶伤子，福禄双收，中年多劳或奔波，晚年吉祥。
硬：yìng，12画,字意：克父命，刑偶欠子，出外贵人现，福禄双收，晚年隆昌，短寿之字。
喻：yù，12画,字意：智勇双全，名利双收，一生清雅荣贵，中年成功隆昌。
寓：yù，12画,字意：温和伶俐，天生聪明，一生清雅平凡，保守之字。
渊：yuān，12画,字意：福寿兴家，理智充足，慈祥有德，环境良好，安享富贵。
越：yuè，12画,字意：出外吉祥，智勇双全，成功隆昌，女人多灾，身弱不幸。
云：yún，12画,字意：清秀伶俐，多才巧智，出国之格，中年成功隆昌。
曾：céng，12画,字意：一生清雅多才，贤能荣幸，迟得子大吉，成功隆昌，环境良好。
诈：zhà，12画,字意：一生困苦，百事劳苦，清雅平凡，出外吉祥，晚年劳神。
栈：zhàn，12画,字意：有爱情厄，刑偶伤子，中年多灾或潦倒，晚年吉祥。
掌：zhǎng，12画,字意：性刚，英雄慷慨，一生清雅多才，中年劳，晚年吉祥。
哲：zhé，12画,字意：福禄双收，中年劳，成功隆昌，晚年吉祥。
诊：zhěn，12画,字意：有才能理智，兄弟无靠，中年吉祥，晚年劳神。
帧：zhēn，12画,字意：忠厚善良，义利分明，中年隆昌，二子吉祥，晚年劳神。
证：zhèng，12画,字意：义利分明，言而必信，操守廉正，中年成功隆昌，荣贵之字。
脂：zhī，12画,字意：刑偶伤子，清雅伶俐，中年多灾，晚年吉祥隆昌。
植：zhí，12画,字意：一生重义守信，名利双收，中年吉祥，晚年隆昌，幸福之字。
智：zhì，12画,字意：吉凶分明，吉则成功隆昌，官运旺，荣贵，凶则忌车怕水，短寿不幸。
众：zhòng，12画,字意：一生福禄双收，荣贵吉祥，出外大吉，中年劳，晚年隆昌。
粥：zhōu，12画,字意：幼年辛苦，中年吉祥，名利双收，福禄永在，晚年吉祥。
轴：zhóu，12画,字意：出外逢贵得才，福禄双收，中年劳，晚年吉祥，双妻之格。
贮：zhù，12画,字意：忧心劳神，刑偶伤子，中年劳苦，晚年吉祥。
兹：zī，12画,字意：有爱情烦恼，温和贤能，中年平凡，晚年吉祥。
最：zuì，12画,字意：智勇双全，教育界大吉，官运旺，中年吉祥，环境良好。
尊：zūn，12画,字意：一生多才伶俐，刑偶伤子，中年多劳，晚年吉祥，清平之字。
俟：sì，12画,字意：忧心劳神，怀才不遇，二子吉祥，中年平凡，晚年隆昌。
巽：xùn，12画,字意：忧心劳神，忌车怕水，命运多舛，一贫如洗，身弱短寿。
诏：zhào，12画,字意：带刀厄，一生清雅荣贵，官运旺，刑偶欠子。
茜：qiàn，12画,字意：清雅秀气，智勇双全，安富尊荣，出国之字。
茱：zhū，12画,字意：秀气伶俐，温和多才，中年成功隆昌，清雅荣贵，二子吉祥。
荏：rěn，12画,字意：精明公正，多才荣贵，中年吉祥，出国之格。
荃：quán，12画,字意：口快性刚，多才伶俐，清雅多能，中年吉祥，晚年劳神。
岚：lán，12画,字意：刑克父母，清雅荣贵，才智出众，身劳短寿，欠子之字。
徨：huáng，12画,字意：义利分明，晚婚迟见子吉，中年平凡，晚年隆昌，官运旺。
闵：mǐn，12画,字意：智勇双全，义利分明，一生清雅荣贵，中年成功隆昌，忌车怕水。
淇：qí，12画,字意：英俊佳人，上下敦睦，二子吉祥，义利分明，成功隆昌，官运旺盛。
淞：sōng，12画,字意：学识渊博，勤俭建业，中年成功隆昌，出国之格，荣贵之字。
淦：gàn，12画,字意：天生聪明，多才有能，清雅荣贵，中年成功隆昌，环境良好。
甯：níng，12画,字意：天生聪颖，多才贤能，中年吉祥，晚年隆昌，环境良好，出国之格。
弼：bì，12画,字意：智勇双全，官或财旺，中年成功隆昌，环境良好。
媛：yuán，12画,字意：秀气伶俐，温和贤能，中年吉祥，晚年隆昌，出外吉祥。
婷：tíng，12画,字意：温和贤淑，口快心直，多才清雅，中年隆昌，一生安详，福寿之字。
棼：fén，12画,字意：带刀厄，刑偶伤子，刑克父母，中年劳，晚年隆昌，多相克之字。
棣：dì，12画,字意：多愁多忧，百事劳苦，中年劳，晚年吉祥。
轸：zhěn，12画,字意：勤俭得禄，克振门户，中年成功隆昌，环境良好。
贻：yí，12画,字意：一生安稳守己，福禄双收，中年吉祥，晚年隆昌，环境良好。
斐：fěi，12画,字意：聪明伶俐，多才秀气，中年吉祥，晚年环境良好。
焱：yàn，12画,字意：通晓大义，克己助人，温和贤能，成功隆昌，但常人难受。
扉：fēi，12画,字意：清雅平凡，一生保守，上下敦睦，中年劳，晚年吉祥。
皓：hào，12画,字意：智勇双全，清雅荣贵，官运旺，妻贤子贵，成功隆昌。
竦：sǒng，12画,字意：刑偶伤子，中年吉祥，清雅伶俐，晚年劳神，欠子之字。
蛟：jiāo，12画,字意：欢乐一生，慷慨精诚，有成人之美德，中年吉祥，出外大吉。
筌：quán，12画,字意：多才伶俐，清雅多能，子孙兴旺，中年吉祥，晚年隆昌。
翕：xī，12画,字意：精明公正，克己助人，清雅温和，中年平凡，晚年吉祥。
