阿：ā，13画,字意：下贱之字，忧心劳神，身弱多病，中年劳，晚年吉祥。
肆：sì，13画,字意：身弱短寿，刑偶伤子，中年劳苦，晚年隆昌。
嗣：sì，13画,字意：智勇双全，精明公正，中年成功隆昌，官运旺，昌荣之字。
颂：sòng，13画,字意：学问丰富，官运旺盛，中年成功隆昌，二子吉祥，忌车怕水。
送：sòng，13画,字意：吉凶分明，吉则成功隆昌，清雅荣贵，凶则一贫如洗，忌车怕水。
肃：sù，13画,字意：有爱情烦恼，忌车怕水，身弱短寿，中年多灾，晚年吉祥。
绥：suí，13画,字意：秀气伶俐，小心爱情厄，中年吉祥，晚年隆昌，环境良好。
岁：suì，13画,字意：清雅多才，英敏贤能，中年平凡，晚年吉祥。
塔：tǎ，13画,字意：克妻伤子，忧心劳神，福禄双收，中年离乱，晚年吉祥。
汤：tāng，13画,字意：智勇双全，义利分明，官或财旺，中年成功隆昌，出国之字。
艇：tǐng，13画,字意：奔波劳苦，智勇双全，吉凶参半，中年劳，晚年吉祥。
湍：tuān，13画,字意：胆识丰富，清雅荣贵，中年成功隆昌，环境良好，出国之字。
退：tuì，13画,字意：奔波劳苦，一贫如洗，中年潦倒，短寿之字。
脱：tuō，13画,字意：奔波劳苦，身弱多病，中年劳苦，晚年吉祥。
碗：wǎn，13画,字意：温和贤能，智勇双全，中年平凡，晚年吉祥，出国之字。
微：wēi，13画,字意：有爱情厄，出外吉祥，中年劳，晚年吉祥。
渭：wèi，13画,字意：一生清雅伶俐，天生聪明，中年成功隆昌，女人助夫兴家。
温：wēn，13画,字意：一生清雅多才，刑偶伤子，中年吉祥，晚年劳神。
斡：wò，13画,字意：多才贤能，温和伶俐，技术方面大吉，成功隆昌，环境良好。
握：wò，13画,字意：忧心劳神，事劳无功，中年吉祥，晚年劳神。
熙：xī，13画,字意：破相，身弱短寿，清雅多才，中年成功隆昌，晚年安详。
暇：xiá，13画,字意：多忧少乐，身弱短寿，中年劳苦，晚年吉祥，福禄之字。
湘：xiāng，13画,字意：精明公正，清雅荣贵，中年成功隆昌，女人有爱情厄，欠子之字。
详：xiáng，13画,字意：温和贤能，福寿兴家，中年平凡，晚年隆昌。
想：xiǎng，13画,字意：有爱情烦恼，内心多忧，中年劳，晚年吉祥，保守之字。
新：xīn，13画,字意：多才巧智，智勇双全，一生中年多灾，晚年吉祥，名利之字。
绣：xiù，13画,字意：小心爱情厄，清雅秀气，配合吉则出国隆昌，凶则不幸多灾。
靴：xuē，13画,字意：忧心劳神，事劳无功，一生多灾，病弱短寿。
勋：xūn，13画,字意：刑偶伤子，晚婚吉祥，中年吉祥，晚年隆昌，环境良好。
询：xún，13画,字意：有爱情厄，刑偶伤子，中年吉祥，晚年劳神多病。
驯：xùn，13画,字意：一生清雅，奔波劳苦，中年吉祥，晚年隆昌，刑偶伤子。
衙：yá，13画,字意：有才能理智，清雅荣贵，中年成功隆昌，出国之字。
烟：yān，13画,字意：清雅伶俐，多才巧智，中年有灾，晚年吉祥。
扬：yáng，13画,字意：智勇双全，多才贤能，名利双收，荣贵出国，富贵之字。
椰：yē，13画,字意：性刚果断，刑偶伤子，中年劳或潦倒，晚年吉祥。
爷：yé，13画,字意：温和慈祥，有成人之美德，中年吉祥，晚年劳神。
业：yè，13画,字意：多才勤俭，清雅伶俐，中年吉祥，出国之格，晚年隆昌，双妻之格。
裔：yì，13画,字意：刑克父母，官运旺，中年劳，晚年隆昌，荣贵之字。
义：yì，13画,字意：多才巧智，清雅伶俐，中年吉祥，晚年隆昌，幸福之字。
饮：yǐn，13画,字意：刑偶欠子，命途多舛，难得幸福，短寿之字。
佣：yòng，13画,字意：刑偶欠子，清雅荣贵，克己助人，名利双收，贤能多才，晚年多疾。
雍：yōng，13画,字意：性刚果断，智勇双全，中年成功隆昌，晚年劳神，忌车怕水。
犹：yóu，13画,字意：多才荣贵，英雄豪爽，中年吉祥，晚年隆昌。
游：yóu，13画,字意：一生清雅伶俐，名利双收，中年劳，晚年吉祥，乐天之字。
榆：yú，13画,字意：清雅容贵，有胆有识，官运旺，中年成功隆昌，福寿兴家。
虞：yú，13画,字意：忧心劳神，事劳无功，中年多灾，晚年吉祥。
愚：yú，13画,字意：一生难幸福，百事劳苦，中年多灾，晚年吉祥。
愉：yú，13画,字意：一生清雅荣贵，谋为出众，官运旺，财弱，享福终世。
渝：yú，13画,字意：胆识兼有，清雅荣贵，官运旺，中年成功隆昌，精诚之字。
郁：yù，13画,字意：清雅伶俐，口快心直，中年成功隆昌，晚年昌盛安稳。
御：yù，13画,字意：秀气伶俐，理智充足，贵人明现，常人难受，武官吉。
愈：yù，13画,字意：理智充足，智勇双全，中年多劳，晚年吉祥。
裕：yù，13画,字意：出外吉祥，福禄双收，中年吉祥，刑偶伤子，晚年劳神。
预：yù，13画,字意：英雄格，清雅多才，中年吉祥，晚年隆昌，出国之字。
园：yuán，13画,字意：清雅荣贵，有文士之风，财官两旺，中年成功隆昌，富贵享福。
圆：yuán，13画,字意：秀气贤淑，少年艰难，中年吉祥，荣贵幸福。
载：zǎi，13画,字意：子孙兴旺，清雅伶俐，多才荣贵，中年成功隆昌，出国之字。
债：zhai，13画,字意：二子吉祥，清雅多才，中年肯做肯劳，成功吉祥，子孙兴旺。
詹：zhān，13画,字意：英敏多才，清雅贤能，福禄双收，武官吉，女人薄幸。
照：zhào，13画,字意：胆识丰富，多才荣贵，官运旺，中年有灾，晚年隆昌。
斟：zhēn，13画,字意：口快心直，环境良好，刑偶欠子，中年吉祥，晚年劳神。
稚：zhì，13画,字意：智勇双全，清雅荣贵，福禄丰厚，名利双收，幸福之字。
庄：zhuāng，13画,字意：秀气巧妙，一生清雅伶俐，中年成功隆昌，晚年子孙鼎盛。
装：zhuāng，13画,字意：出外吉祥，刑偶伤子，晚婚吉，中年劳，晚年隆昌。
追：zhuī，13画,字意：忧心劳神，事劳无功，中年多灾，晚年吉祥。
琢：zhuó，13画,字意：出外逢贵得财，智勇双全，中年成功隆昌，环境良好。
资：zī，13画,字意：清雅荣贵，二子吉祥，中年隆昌，多才贤能，环境良好，秀气之字。
陂：bēi，13画,字意：晚婚吉庆，早婚不利，一生多灾，难幸福，晚年吉祥。
莠：yǒu，13画,字意：一生清雅伶俐，多才巧智，刑偶欠子，晚年吉祥。
莞：wǎn，13画,字意：清秀巧妙，清雅温和，中年成功隆昌，出国之字，有爱情厄。
莨：làng，13画,字意：出外吉祥，天生聪颖，中年吉祥，晚年隆昌，幸福之字。
饬：chì，13画,字意：多相克之字，一生清雅平凡，中年劳苦，晚年吉祥。
浈：zhēn，13画,字意：多才巧智，清雅荣贵，中年成功隆昌，环境良好，二子吉祥。
湫：qiū，13画,字意：虚荣心强，有爱情厄，中年多灾，晚年吉祥，贤能之字。
溆：xù，13画,字意：天生聪明，多才巧智，中年成功隆昌，荣华富贵，出国之字。
琪：qí，13画,字意：智勇双全，清雅荣贵，官运旺，中年成功隆昌，清秀之字。
琦：qí，13画,字意：有爱情厄，身弱短寿，福禄双收，中年吉祥，晚年劳神。
琨：kūn，13画,字意：清雅多才，英俊勤俭，中年吉祥，晚年隆昌，官旺之字。
琰：yǎn，13画,字意：性刚果断，一生清雅多才，中年吉祥隆昌，晚年劳神。
琮：cóng，13画,字意：智勇双全，名利双收，英俊荣贵，中年吉祥，晚年隆昌，官运旺。
琛：chēn，13画,字意：清雅荣贵，多才有能，中年成功隆昌，晚年吉祥，福寿之字。
楠：nán，13画,字意：刑偶或伤子，多才巧智，中年劳，晚年吉祥，女人刑夫，环境良好。
楫：jí，13画,字意：智勇双全，义利分明，官或财旺，中年平凡，晚年吉祥。
楣：méi，13画,字意：秀气贤能，一生福禄，荣贵隆昌，环境良好，晚年劳神。
轼：shì，13画,字意：忧心劳神，事劳无功，中年劳，晚年吉祥，荣幸之字。
晖：huī，13画,字意：命硬，清雅荣贵，官旺，中年平凡，晚年隆昌，环境良好。
暄：xuān，13画,字意：智勇双全，清雅荣贵，家声克振，成功隆昌，官旺之字。
暌：kuí，13画,字意：刑偶伤子，晚婚吉祥，中年劳或奔波，晚年吉祥，官旺之字。
毽：jiàn，13画,字意：多才巧智，清雅伶俐，中年劳或奔波，晚年吉祥。
歆：xīn，13画,字意：刑偶欠子，身弱多病，中年多劳，晚年吉祥。
炀：yáng，13画,字意：性刚口快，一生清雅，刑偶欠子，官旺，短寿之字。
炜：wěi，13画,字意：多才贤能，清雅荣贵，中年成功隆昌，出国之格。
煜：yù，13画,字意：一生清雅荣贵，勤敏多才，中年成功隆昌，出国之字，忌车怕水。
煊：xuān，13画,字意：清雅多才，贤能精诚，官运旺，中年有灾，晚年隆昌，出国之字。
祺：qí，13画,字意：英俊多才，清雅荣贵，中年吉祥，环境良好，官运旺。
钜：jù，13画,字意：精明公正，义利分明，官运旺，出国之字，成功隆昌。
钰：yù，13画,字意：清秀伶俐，有才能理智，官旺，中年吉祥，晚年隆昌。
钲：zhēng，13画,字意：智勇双全，精明公正，清雅荣贵，中年成功隆昌。
钿：diàn，13画,字意：安富尊荣，多才伶俐，中年成功隆昌，环境良好，富贵之字。
雉：zhì，13画,字意：一生清雅荣贵，理智充足，中年吉祥，晚年劳神。
稔：rěn，13画,字意：一生清雅荣贵，中年吉祥，晚年隆昌，环境良好。
鸠：jiū，13画,字意：忧心劳神，病弱短寿，中年劳但吉祥，晚年隆昌。
蜃：shèn，13画,字意：勤俭持家，中年虽劳，吉祥荣昌，子孙兴旺。
筵：yàn，13画,字意：智勇双全，出外吉祥，清雅荣贵，官运旺，成功隆昌，环境良好。
裟：shā，13画,字意：出外逢贵得财，秀气巧妙，中年吉祥，晚年劳神。
銎：qióng，13画,字意：清雅荣贵，学识渊博，安富尊荣，中年成功隆昌，享福之字。
